iter	Passed	Remaining
163	336	1717
164	338	1711
165	339	1705
166	342	1706
167	343	1701
168	344	1696
169	347	1694
170	351	1702
171	352	1697
172	353	1691
173	355	1689
174	358	1689
175	360	1686
176	361	1681
177	363	1677
178	364	1672
179	366	1669
180	367	1663
181	369	1661
182	371	1656
183	373	1655
184	375	1654
185	376	1648
186	379	1648
187	383	1658
188	388	1666
189	390	1665
190	392	1660
191	393	1655
192	394	1649
193	396	1645
194	398	1643
195	400	1643
196	402	1639
197	403	1634
198	404	1629
199	406	1624
200	407	1620
201	409	1616
202	411	1614
203	412	1610
204	414	1608
205	416	1603
206	417	1599
207	418	1594
208	419	1588
209	421	1584
210	422	1579
211	423	1575
212	426	1576
213	428	1572
214	429	1569
215	431	1564
216	432	1559
217	433	1555
218	434	1550
219	436	1547
220	437	1543
221	440	1542
222	442	1540
223	443	1535
224	444	1531
225	445	1526
226	447	1522
227	448	1517
228	450	1515
229	451	1511
230	452	1507
231	455	1507
232	457	1505
233	459	1503
234	460	1499
235	461	1495
236	463	1491
237	464	1488
238	466	1485
239	468	1484
240	470	1481
241	472	1479
242	473	1475
243	474	1471
244	476	1467
245	477	1463
246	478	1459
247	479	1455
248	481	1451
249	483	1450
250	485	1448
251	487	1446
252	490	1447
253	491	1444
254	494	1443
255	495	1440
256	498	1439
257	499	1437
258	502	1436
259	503	1433
260	504	1429
261	506	1425
262	507	1421
263	508	1418
264	509	1414
265	512	1414
266	514	1412
267	515	1408
268	517	1405
269	518	1401
270	519	1397
271	520	1393
272	522	1390
273	523	1386
274	524	1382
275	527	1382
276	529	1380
277	530	1378
278	532	1374
279	533	1371
280	534	1367
281	535	1364
282	537	1361
283	538	1357
284	540	1356
285	542	1353
286	544	1352
287	546	1349
288	547	1346
289	548	1342
290	549	1339
291	550	1335
292	551	1331
293	554	1330
294	556	1328
295	557	1325
296	558	1322
297	559	1318
298	560	1315
299	562	1311
300	563	1308
301	564	1305
302	565	1301
303	567	1298
304	569	1297
305	572	1297
306	573	1295
307	575	1292
308	576	1288
309	577	1285
310	578	1282
311	580	1278
312	581	1276
313	585	1279
314	587	1278
315	589	1276
316	590	1273
317	592	1269
318	593	1266
319	594	1263
320	595	1260
321	597	1258
322	599	1257
323	602	1256
324	603	1253
325	604	1250
326	606	1247
327	607	1244
328	608	1241
329	610	1239
330	612	1237
331	614	1236
332	615	1233
333	616	1229
334	617	1226
335	619	1223
336	620	1220
337	621	1217
338	622	1214
339	625	1214
340	627	1212
341	628	1210
342	630	1207
343	631	1204
344	632	1201
345	633	1198
346	635	1195
347	636	1192
348	637	1189
349	640	1188
350	641	1185
351	643	1183
352	644	1180
353	645	1177
354	646	1174
355	647	1171
356	649	1169
357	650	1166
358	651	1163
359	654	1163
360	657	1163
361	659	1161
362	660	1159
363	662	1156
364	663	1154
365	665	1152
366	666	1149
367	668	1147
368	670	1145
369	671	1142
370	672	1140
371	674	1137
372	675	1135
373	676	1132
374	678	1130
375	679	1127
376	680	1124
377	682	1123
378	684	1121
379	691	1128
380	693	1127
381	695	1125
382	700	1128
383	704	1129
384	710	1134
385	712	1132
386	714	1131
387	716	1129
388	717	1127
389	719	1125
390	723	1127
391	725	1126
392	727	1123
393	728	1120
394	729	1118
395	731	1115
396	733	1114
397	736	1114
398	741	1116
399	742	1114
400	744	1111
401	745	1108
402	746	1106
403	748	1103
404	749	1101
405	751	1099
406	752	1097
407	754	1095
408	756	1093
409	757	1090
410	759	1087
411	760	1085
412	761	1082
413	762	1079
414	765	1079
415	767	1077
416	770	1076
417	771	1073
418	772	1071
419	774	1069
420	775	1066
421	776	1064
422	778	1061
423	779	1059
424	781	1056
425	782	1054
426	784	1052
427	785	1050
428	787	1047
429	789	1045
430	790	1043
431	792	1042
432	793	1039
433	796	1038
434	798	1037
435	800	1035
436	801	1032
437	802	1030
438	804	1027
439	805	1024
440	808	1024
441	809	1021
442	811	1020
443	813	1018
444	814	1016
445	815	1013
446	817	1011
447	818	1008
448	819	1005
449	821	1004
450	824	1003
451	825	1000
452	826	998
453	827	995
454	828	992
455	830	990
456	831	987
457	832	985
458	833	982
459	835	981
460	837	979
461	839	977
462	841	976
463	842	973
464	844	971
465	845	968
466	846	966
467	847	963
468	850	963
469	852	961
470	853	958
471	854	956
472	855	953
473	856	951
474	858	948
475	859	946
476	860	943
477	862	941
478	864	940
479	866	938
480	868	936
481	869	934
482	871	932
483	872	930
484	873	927
485	875	925
486	876	923
487	878	921
488	880	919
489	882	918
490	883	916
491	885	913
492	886	911
493	887	909
494	888	906
495	890	904
496	892	903
497	895	903
498	897	901
499	899	899
500	900	897
501	902	895
502	903	892
503	904	890
504	907	889
505	909	887
506	910	885
507	912	883
508	913	881
509	914	878
510	915	876
511	918	875
512	920	873
513	921	871
514	923	870
515	927	869
516	928	867
517	930	865
518	932	864
519	935	863
520	937	862
521	939	859
522	940	857
523	941	855
524	943	853
525	944	851
526	945	849
527	947	846
528	950	845
529	952	844
530	953	842
531	954	839
532	956	837
533	957	835
534	958	833
535	960	831
536	961	829
537	963	827
538	965	825
539	966	823
540	968	821
541	970	819
542	971	817
543	972	815
544	973	812
545	974	810
546	975	807
547	978	806
548	980	805
549	981	803
550	982	800
551	983	798
552	985	796
553	986	794
554	987	791
555	988	789
556	989	787
557	990	784
558	993	783
559	995	782
560	996	780
561	998	778
562	999	775
563	1000	773
564	1001	771
565	1003	769
566	1004	767
567	1006	765
568	1008	763
569	1009	761
570	1011	759
571	1012	757
572	1013	755
573	1015	753
574	1016	751
575	1018	749
576	1019	747
577	1021	745
578	1022	743
579	1024	741
580	1026	739
581	1027	737
582	1029	736
583	1030	734
584	1032	732
585	1033	730
586	1034	727
587	1036	726
588	1038	724
589	1040	722
590	1041	720
591	1042	718
592	1043	716
593	1045	714
594	1046	712
595	1047	710
596	1049	708
597	1051	706
598	1053	704
599	1054	703
600	1056	701
601	1065	704
602	1067	703
603	1071	702
604	1072	700
605	1084	705
606	1086	703
607	1088	702
608	1090	700
609	1093	699
610	1097	698
611	1099	696
612	1100	695
613	1102	693
614	1105	692
615	1108	690
616	1109	688
617	1111	686
618	1112	684
619	1125	690
620	1130	689
621	1131	687
622	1133	686
623	1135	684
624	1140	684
625	1141	682
626	1143	680
627	1144	678
628	1147	676
629	1150	675
630	1152	673
631	1153	671
632	1155	669
633	1156	667
634	1157	665
635	1158	663
636	1160	661
637	1163	660
638	1166	658
639	1167	656
640	1169	654
641	1170	652
642	1171	650
643	1172	648
644	1175	646
645	1176	644
646	1179	643
647	1180	641
648	1181	639
649	1183	637
650	1184	634
651	1185	632
652	1187	630
653	1188	628
654	1189	626
655	1193	625
656	1196	624
657	1197	622
658	1198	620
659	1201	618
660	1203	617
661	1204	615
662	1206	613
663	1207	611
664	1208	608
665	1209	606
666	1211	604
667	1212	602
668	1214	600
669	1216	599
670	1219	598
671	1222	596
672	1223	594
673	1225	592
674	1226	590
675	1229	589
676	1230	587
677	1233	585
678	1235	584
679	1237	582
680	1238	580
681	1239	578
682	1241	576
683	1243	574
684	1247	573
685	1249	571
686	1250	569
687	1252	567
688	1253	565
689	1254	563
690	1256	561
691	1259	560
692	1260	558
693	1263	556
694	1264	554
695	1265	552
696	1266	550
697	1267	548
698	1268	546
699	1270	544
700	1273	543
701	1275	541
702	1277	539
703	1278	537
704	1279	535
705	1280	533
706	1282	531
707	1283	529
708	1284	527
709	1287	525
710	1288	523
711	1290	522
712	1292	520
713	1293	518
714	1294	516
715	1295	514
716	1297	511
717	1298	509
718	1299	507
719	1301	506
720	1303	504
721	1306	502
722	1307	500
723	1308	498
724	1309	496
725	1310	494
726	1312	492
727	1313	490
728	1315	488
729	1316	487
730	1318	485
731	1320	483
732	1322	481
733	1323	479
734	1324	477
735	1325	475
736	1326	473
737	1328	471
738	1330	469
739	1332	468
740	1334	466
741	1335	464
742	1336	462
743	1338	460
744	1339	458
745	1341	456
746	1342	454
747	1344	452
748	1345	450
749	1348	449
750	1349	447
751	1350	445
752	1352	443
753	1353	441
754	1354	439
755	1356	437
756	1358	435
757	1359	434
758	1362	432
759	1364	430
760	1365	428
761	1366	426
762	1367	424
763	1369	422
764	1370	420
765	1372	419
766	1374	417
767	1376	415
768	1378	414
769	1379	412
770	1380	410
771	1381	408
772	1383	406
773	1385	404
774	1387	402
775	1389	401
776	1391	399
777	1392	397
778	1393	395
779	1395	393
780	1396	391
781	1397	389
782	1399	387
783	1401	386
784	1403	384
785	1405	382
786	1407	380
787	1409	379
788	1410	377
789	1412	375
790	1413	373
791	1418	372
792	1420	370
793	1421	368
794	1423	366
795	1424	365
796	1426	363
797	1427	361
798	1429	359
799	1431	357
800	1433	356
801	1435	354
802	1436	352
803	1437	350
804	1438	348
805	1439	346
806	1442	345
807	1446	343
808	1449	342
809	1450	340
810	1451	338
811	1452	336
812	1454	334
813	1456	332
814	1458	331
815	1460	329
816	1461	327
817	1463	325
818	1464	323
819	1466	321
820	1467	319
821	1468	318
822	1470	316
823	1472	314
824	1473	312
825	1474	310
826	1475	308
827	1477	306
828	1478	304
829	1479	303
830	1480	301
831	1482	299
832	1484	297
833	1487	296
834	1488	294
835	1489	292
836	1491	290
837	1492	288
838	1493	286
839	1494	284
840	1496	282
841	1497	281
842	1500	279
843	1501	277
844	1503	275
845	1504	273
846	1505	271
847	1506	270
848	1508	268
849	1509	266
850	1511	264
851	1554	270
852	1556	268
853	1557	266
854	1559	264
855	1561	262
856	1563	260
857	1566	259
858	1568	257
859	1572	255
860	1576	254
861	1577	252
862	1579	250
863	1580	248
864	1581	246
865	1584	245
866	1585	243
867	1586	241
868	1588	239
869	1590	237
870	1592	235
871	1593	233
872	1594	232
873	1596	230
874	1597	228
875	1598	226
876	1600	224
877	1601	222
878	1602	220
879	1605	218
880	1606	217
881	1608	215
882	1609	213
883	1611	211
884	1612	209
885	1613	207
886	1615	205
887	1616	203
888	1618	202
889	1619	200
890	1621	198
891	1622	196
892	1623	194
893	1625	192
894	1627	190
895	1628	189
896	1629	187
897	1631	185
898	1632	183
899	1634	181
900	1635	179
901	1638	178
902	1639	176
903	1640	174
904	1642	172
905	1643	170
906	1644	168
907	1645	166
908	1649	165
909	1650	163
910	1652	161
911	1653	159
912	1654	157
913	1655	155
914	1656	153
915	1658	152
916	1659	150
917	1661	148
918	1662	146
919	1664	144
920	1666	142
921	1667	141
922	1668	139
923	1669	137
924	1671	135
925	1672	133
926	1673	131
927	1674	129
928	1676	128
929	1679	126
930	1680	124
931	1681	122
932	1682	120
933	1684	119
934	1685	117
935	1686	115
936	1687	113
937	1688	111
938	1691	109
939	1693	108
940	1694	106
941	1695	104
942	1696	102
943	1698	100
944	1699	98
945	1700	97
946	1701	95
947	1702	93
948	1705	91
949	1707	89
950	1708	88
951	1709	86
952	1710	84
953	1712	82
954	1713	80
955	1714	78
956	1715	77
957	1716	75
958	1717	73
959	1720	71
960	1722	69
961	1723	68
962	1724	66
963	1725	64
964	1726	62
965	1727	60
966	1729	59
967	1730	57
968	1731	55
969	1734	53
970	1735	51
971	1737	50
972	1738	48
973	1739	46
974	1740	44
975	1741	42
976	1743	41
977	1744	39
978	1745	37
979	1749	35
980	1751	33
981	1752	32
982	1753	30
983	1754	28
984	1756	26
985	1757	24
986	1758	23
987	1759	21
988	1760	19
989	1763	17
990	1765	16
991	1766	14
992	1767	12
993	1768	10
994	1769	8
995	1770	7
996	1771	5
997	1773	3
998	1774	1
999	1775	0
